Occupancy,PctWageRecapture,PctEmploymentRecapture,PctIncomeRecapture,PctOutputRecapture
AGR1,0.75,0.75,0.75,0.75
COM1,0.87,0.87,0.87,0.87
COM10,0.6,0.6,0.6,0.6
COM2,0.87,0.87,0.87,0.87
COM3,0.51,0.51,0.51,0.51
COM4,0.9,0.9,0.9,0.9
COM5,0.9,0.9,0.9,0.9
COM6,0.6,0.6,0.6,0.6
COM7,0.6,0.6,0.6,0.6
COM8,0.6,0.6,0.6,0.6
COM9,0.6,0.6,0.6,0.6
EDU1,0.6,0.6,0.6,0.6
EDU2,0.6,0.6,0.6,0.6
GOV1,0.8,0.8,0.8,0.8
GOV2,0,0,0,0
IND1,0.98,0.98,0.98,0.98
IND2,0.98,0.98,0.98,0.98
IND3,0.98,0.98,0.98,0.98
IND4,0.98,0.98,0.98,0.98
IND5,0.98,0.98,0.98,0.98
IND6,0.95,0.95,0.95,0.95
REL1,0.6,0.6,0.6,0.6
RES1,0,0,0,0
RES2,0,0,0,0
RES3A,0,0,0,0
RES3B,0,0,0,0
RES3C,0,0,0,0
RES3D,0,0,0,0
RES3E,0,0,0,0
RES3F,0,0,0,0
RES4,0.6,0.6,0.6,0.6
RES5,0.6,0.6,0.6,0.6
RES6,0.6,0.6,0.6,0.6
