Occupancy,IncomePerSqftPerYear,IncomePerSqftPerDay,WagePerSqftDay,EmployeesPerSqft,OutputPerSqftDay
AGR1,97.16,0.266,0.105,0.004,0.993
COM1,25.621,0.07,0.245,0.004,0.519
COM10,0,0,0,0,0
COM2,42.019,0.115,0.302,0.002,0.674
COM3,55.363,0.152,0.357,0.004,0.795
COM4,436.237,1.195,0.424,0.004,1.162
COM5,497.797,1.364,0.692,0.006,3.771
COM6,69.203,0.19,0.446,0.005,0.993
COM7,138.407,0.379,0.893,0.01,1.987
COM8,253.823,0.695,0.553,0.007,1.253
COM9,83.044,0.228,0.536,0.006,1.193
EDU1,69.203,0.19,0.446,0.005,3.85
EDU2,138.407,0.379,0.893,0.01,5.851
GOV1,45.468,0.125,3.427,0.025,0.795
GOV2,0,0,5.209,0.038,0.913
IND1,105.016,0.288,0.476,0.003,2.014
IND2,105.016,0.288,0.476,0.003,2.014
IND3,140.021,0.384,0.637,0.004,2.685
IND4,318.147,0.872,0.492,0.003,2.13
IND5,210.032,0.575,0.954,0.006,4.026
IND6,102.383,0.281,0.516,0.005,1.995
REL1,55.363,0.152,0.357,0.004,1.987
RES1,0,0,0,0,0
RES2,0,0,0,0,0
RES3A,0,0,0,0,0
RES3B,0,0,0,0,0
RES3C,0,0,0,0,0
RES3D,0,0,0,0,0
RES3E,0,0,0,0,0
RES3F,0,0,0,0,0
RES4,41.522,0.114,0.267,0.003,0.596
RES5,0,0,0,0,0
RES6,69.203,0.19,0.446,0.005,0.993
