SOccupId,InvDmgFnId,DefaultFn,Selected,Editable,HazardR,HazardCA,HazardCV
A1HB ,116,1,0,0,1,1,1
A1HN ,116,1,0,0,1,1,1
A1LB ,116,1,0,0,1,1,1
A1LN ,116,1,0,0,1,1,1
A1MB ,116,1,0,0,1,1,1
A1MN ,116,1,0,0,1,1,1
C1HB ,1,1,0,0,1,1,1
C1HN ,1,1,0,0,1,1,1
C1LB ,1,1,0,0,1,1,1
C1LN ,1,1,0,0,1,1,1
C1MB ,1,1,0,0,1,1,1
C1MN ,1,1,0,0,1,1,1
C2HB ,46,1,0,0,1,1,1
C2HN ,46,1,0,0,1,1,1
C2LB ,46,1,0,0,1,1,1
C2LN ,46,1,0,0,1,1,1
C2MB ,46,1,0,0,1,1,1
C2MN ,46,1,0,0,1,1,1
I1HB ,70,1,0,0,1,1,1
I1HN ,70,1,0,0,1,1,1
I1LB ,70,1,0,0,1,1,1
I1LN ,70,1,0,0,1,1,1
I1MB ,70,1,0,0,1,1,1
I1MN ,70,1,0,0,1,1,1
I2HB ,81,1,0,0,1,1,1
I2HN ,81,1,0,0,1,1,1
I2LB ,81,1,0,0,1,1,1
I2LN ,81,1,0,0,1,1,1
I2MB ,81,1,0,0,1,1,1
I2MN ,81,1,0,0,1,1,1
I3HB ,93,1,0,0,1,1,1
I3HN ,93,1,0,0,1,1,1
I3LB ,93,1,0,0,1,1,1
I3LN ,93,1,0,0,1,1,1
I3MB ,93,1,0,0,1,1,1
I3MN ,93,1,0,0,1,1,1
I4HB ,106,1,0,0,1,1,1
I4HN ,106,1,0,0,1,1,1
I4LB ,106,1,0,0,1,1,1
I4LN ,106,1,0,0,1,1,1
I4MB ,106,1,0,0,1,1,1
I4MN ,106,1,0,0,1,1,1
I5HB ,111,1,0,0,1,1,1
I5HN ,111,1,0,0,1,1,1
I5LB ,111,1,0,0,1,1,1
I5LN ,111,1,0,0,1,1,1
I5MB ,111,1,0,0,1,1,1
I5MN ,111,1,0,0,1,1,1
I6HB ,112,1,0,0,1,1,1
I6HN ,112,1,0,0,1,1,1
I6LB ,112,1,0,0,1,1,1
I6LN ,112,1,0,0,1,1,1
I6MB ,112,1,0,0,1,1,1
I6MN ,112,1,0,0,1,1,1
